company,website,city,state,bucket,band,priority,batch,rank,verification,scope,model,size,li_headcount,founded_inven,ownership_inven,dq_gate,verdict_reason,founded_verified,owner_verified,ownership_verified,confidence,source_list,inven_id,list_stage_note
Cheyenne Technical Services,http://cheyennetechnical.com,Tonkawa,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,7.0,2009.0,Private,Out of trade - mechanical integrity inspection for oil and gas,,,,,,S1/S2 (new 14 Aug),12475434.0,"""Mechanical integrity and inspection services,"" ""oil and gas inspection, corrosion monitoring""; an inspection model, but on mechanical assets not electrical."
Siles Remodeling LLC,http://silesremodeling.com,Rockville,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,2.0,2005.0,Family Owned,Residential — home remodeling,,,,,,S1/S2 (new 14 Aug),24312756.0,"""Remodeling company specializing in home renovations"" — kitchen, bathroom and basement work for homeowners; 2 employees."
"Guardian Security Systems, Inc.",http://guardiansecurity.com,Seattle,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Weak,235.0,1976.0,Family Owned,Low-voltage only (security/fire alarm); above size box,,,,,,S1/S2 (new 14 Aug),56393691.0,"""Fire alarm monitoring and security solutions"" with ""video surveillance, access control""; low-voltage-only gate, 235 employees."
Tech Zone Central Iowa Systems,http://techzoneia.com,Jefferson,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,2.0,1999.0,Private,Low-voltage only (security systems),,,,,,S1/S2 (new 14 Aug),40376882.0,"""Security system installation company"" doing ""security cameras, alarm systems, and access control""; 2 employees."
Burns Landscape & Snow Management,http://burns-land.com,Wilmington,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,13.0,2006.0,Family Owned,Out-of-scope trade - landscaping and snow management,,,,,,S1/S2 (new 14 Aug),16709695.0,"'Commercial and residential landscaping, hardscaping, and snow removal' in Massachusetts; not electrical infrastructure."
"Summit Technologies, Inc. (Hartford, CT)",http://summtech.com,Hartford,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Strong,63.0,1997.0,Private,Out of trade (IT services),,,,,,S1/S2 (new 14 Aug),274870.0,"""IT services company"" delivering ""cybersecurity, IT infrastructure management, and software development"" to government agencies; no electrical work."
Cartwright Tree Care,http://cartwrighttree.com,Grandview,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,14.0,1999.0,Family Owned,Out of trade - residential/commercial tree care,,,,,,S1/S2 (new 14 Aug),1343984.0,"""Tree trimming, removal, and plant health care"" for residential and commercial clients - not utility vegetation management under a line contract."
"Oasis Sales, Inc",http://oasissales.com,Scottsdale,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,21.0,1985.0,Private,Software resale and consulting — no manufacturing and no field service,,,,,,S1/S2 (new 14 Aug),1199733.0,Resells 'software for electrical systems and wire harness design' with consulting and training since 1985; 21 heads; no manufacturing or field service.
BLYK Engineering Services,http://blykengineering.com,Redondo Beach,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,22.0,2010.0,Private,Out-of-scope trade: electronic product design,,,,,,S1/S2 (new 14 Aug),12431676.0,"""Electronic product design and development"" with ""mechanical design, firmware development"" for ""consumer electronics and automotive""; product-design shop, wrong"
"D&H Water Systems, Inc.",http://dandhwatersystems.com,Oceanside,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Mixed,22.0,2005.0,Private,Out-of-scope trade: water treatment equipment and integration,,,,,,S1/S2 (new 14 Aug),1255191.0,"'Water treatment solutions for municipal and industrial applications' — 'chemical feed systems, systems integration'; water treatment products, not electrical i"
Churneys Truck Center,http://churneys.com,Cleveland,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,4.0,2003.0,Private,Out of scope trade: truck and vehicle repair,,,,,,S1/S2 (new 14 Aug),769950.0,"'Truck repair center' doing collision repair, preventive maintenance and mechanical services on heavy vehicles and RVs; vehicle trade, 4 staff."
Port City Sound and Security,http://portcitysound.com,Wilmington,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,16.0,2000.0,Private,Residential plus low-voltage only,,,,,,S1/S2 (new 14 Aug),23098079.0,"""Home automation, audio/video integration, and security systems"" for ""homeowners, builders, and designers""; residential and low-voltage gates both fire."
Convergis Technologies,http://convergistech.com,Cumming,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,16.0,2001.0,Private,"Low-voltage only - phone systems, cabling, security, audio/video",,,,,,S1/S2 (new 14 Aug),12499405.0,"""Phone systems, voice and data cabling, security, and audio/video solutions"" for hospitality and healthcare; low-voltage systems only."
"Aqua, LLC",http://aquallc.com,Corsicana,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,24.0,2004.0,Private,Out of scope trade — oil and gas pipeline,,,,,,S1/S2 (new 14 Aug),3231006.0,"""Energy services company specializing in pipeline construction and maintenance"" with ""HDD drilling, and integrity services"" — pipelines, not electrical."
"Custom Drilling Services, Inc.",http://customdrilling.net,Mulberry,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,7.0,1990.0,Private,Out-of-scope trade (environmental drilling),,,,,,S1/S2 (new 14 Aug),415722.0,"""Environmental, industrial, and construction drilling"" with ""well installation, soil sampling"", 7 employees; not electrical."
"Peterson Grading & Excavation, Inc.",http://petersongrading.com,Concord,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,3.0,1976.0,Family Owned,Out-of-thesis trade: grading and excavation,,,,,,S1/S2 (new 14 Aug),4161994.0,"""Grading and excavation"" with ""land clearing, drainage solutions, and pond development"" for residential and commercial clients; 3 employees."
Innovation Technologies,http://myinnovationtech.com,San Diego,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,40.0,2007.0,Private,Residential; low-voltage and AV only,,,,,,S1/S2 (new 14 Aug),12852967.0,"'Home automation and audio/video installation... home theater design, custom TV installation, and networking'; residential low-voltage fires the gate."
JTH Lighting Alliance,http://jthlighting.com,Apple Valley,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,54.0,1988.0,Private,Pure product resale - rep agency with no manufacturing and no field service,,,,,,S1/S2 (new 14 Aug),574952.0,"Lighting 'design consultant' selling LED and controls to 'architects, engineers, and contractors' with design assistance and quotations; agency model"
Gordon Energy & Drainage,http://gordonenergy.com,Olathe,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,19.0,1972.0,Private,Out of trade - waterproofing/drainage,,,,,,S1/S2 (new 14 Aug),12652216.0,"""Basement waterproofing, erosion control, and sump pump installations"" for homeowners and contractors in Kansas City."
Northeast Industrial Batteries Inc.,http://northeastbatteries.com,Bristol,,M13,3 Engineering & Manufacturing,Nurture,Nurture (below floor),,Not verified,Mixed,Strong,Weak,14.0,1968.0,Family Owned,,,,,,,S1/S2 (new 14 Aug),3752031.0,"Makes industrial batteries and chargers and sells 'battery rentals, financing plans, and maintenance services' in several states since 1968; 14 staff, below flo"
J&A Innovations LLC,http://ja-innovations.com,Golden,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,8.0,2009.0,Private,Out-of-scope trade: window/door installation; residential,,,,,,S1/S2 (new 14 Aug),39336243.0,"""Window and door installations, as well as heavy equipment services"" for residential and commercial clients; no electrical scope."
JD Sound & Video,http://jdsvi.com,Voorhees Township,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,5.0,2006.0,Private,Low-voltage / AV only,,,,,,S1/S2 (new 14 Aug),4002938.0,'Commercial audio/visual integration company' designing and installing sound and video systems; low-voltage-only gate fires; 5 employees.
Accurate Electronic Interiors (AEI),http://aeinteriors.com,Central Point,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,4.0,1998.0,Private,Residential low-voltage (home automation and audiovisual),,,,,,S1/S2 (new 14 Aug),724371.0,"'Home theater systems, smart home technologies, and lighting control solutions' for residential and commercial clients in Southern Oregon; residential low-volta"
Warren Design & Build,http://warrendb.com,Warren,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Mixed,26.0,2014.0,Private,"Out-of-thesis trade — custom machinery building and machining, not electrical equipment",,,,,,S1/S2 (new 14 Aug),1344808.0,"'Custom machinery, parts manufacturing, and emergency repair' for manufacturing and food processing since 2014; 26 heads; machinery, not electrical equipment."
21Tech,http://21tech.com,Oakland,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,70.0,1996.0,Private,Out-of-scope trade: EAM software and IT consulting,,,,,,S1/S2 (new 14 Aug),3634485.0,"""Enterprise asset management (EAM)"" implementations and ""asset data services"" for transit and utilities; IT consultancy with no field workforce."
Aviotek,http://aviotek.com,Davie,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,27.0,1999.0,Family Owned,Out of scope trade — aviation MRO,,,,,,S1/S2 (new 14 Aug),365021.0,"""Aviation service provider specializing in aircraft maintenance, repair, and modifications for commercial and military fleets"" — aircraft MRO."
"Gibson Painting and Construction Group, Inc.",http://gibson-painting.com,Lafayette,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,19.0,1977.0,Family Owned,Out-of-scope trade (painting); residential,,,,,,S1/S2 (new 14 Aug),19235628.0,"""Commercial and residential painting"" with ""drywall repair, carpentry, and home remodeling""; painting trade, not electrical."
Patera Landscaping,http://pateralandscaping.com,Omaha,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,21.0,2005.0,Family Owned,Out-of-thesis trade: landscaping,,,,,,S1/S2 (new 14 Aug),1361017.0,"""Landscaping company"" doing ""custom landscape design, maintenance, and snow removal"" in Omaha; no electrical scope."
Performance Landex LLC,http://performancelandex.com,Ridgefield,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,2.0,1978.0,Private,Out-of-scope trade - landscaping and excavation,,,,,,S1/S2 (new 14 Aug),8216046.0,"'Excavation, landscaping design, and drainage solutions' for residential and commercial clients; 2 employees and no electrical work."
The Drying Company,http://thedryingco.com,Toano,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Strong,29.0,2002.0,Family Owned,Residential; out of trade,,,,,,S1/S2 (new 14 Aug),1222794.0,"""Home improvement service provider"" doing ""basement waterproofing, insulation, and foundation repair"" for Virginia homeowners; no electrical content."
"Ben Krupinski Builder - Hamptons, NYC, Connecticut",http://bkbuilder.com,East Hampton,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,13.0,1986.0,Private,Out of trade - general contracting/residential,,,,,,S1/S2 (new 14 Aug),76553.0,"""Custom homes, renovations, and public buildings"" for clients, architects and designers in the Hamptons - residential general contractor."
"Distinctive Hospitality Designs, LLC",http://distinctivehospitality.com,New Kent,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,5.0,2005.0,Private,"Out of trade - hospitality design, FF&E and construction",,,,,,S1/S2 (new 14 Aug),3836508.0,"'Procurement, design, construction, and installation' for hospitality owners, 'general contractors, and FF&E providers'; 5 staff, GC-channel interiors work."
Kriebel Security Inc,http://kriebelsecurityinc.com,Palm,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,8.0,1988.0,Private,Low-voltage security only; residential,,,,,,S1/S2 (new 14 Aug),1294945.0,"""Installation and maintenance of security systems for residential, commercial, and banking clients""; low-voltage security, 8 employees."
Tescorp,http://tescorp.com,Tulsa,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Weak,8.0,1987.0,Private,Out-of-scope trade - oil and gas vapor recovery and compressor equipment; 8 staff below floor,,,,,,S1/S2 (new 14 Aug),384132.0,"'Vapor recovery systems and compressor solutions' with 'on-site repair and maintenance' for oil and gas; 8 staff; mechanical, not electrical"
Dustbusters Pavement Sweeping LLC,http://dustbusterspavementsweeping.com,Anoka,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,3.0,1993.0,Private,Out of scope trade: pavement sweeping and property maintenance,,,,,,S1/S2 (new 14 Aug),4034174.0,"'Pavement sweeping and outdoor maintenance' with power washing and snow plowing for residential and commercial customers; property services trade, 3 staff."
"Fluid Engineering, Inc.",http://fluid-eng.com,Birmingham,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,44.0,1992.0,Private,Out of trade - air pollution control and material handling,,,,,,S1/S2 (new 14 Aug),3645324.0,"""Pumps, dust collection systems, and pneumatic conveying systems"" for chemical and food processing; mechanical products and service, not electrical."
Accurate Property Restoration,http://accuratepropertyrestoration.com,Torrance,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,11.0,1987.0,Private,Out of trade - property restoration,,,,,,S1/S2 (new 14 Aug),1316411.0,"""Emergency services related to water damage, fire damage, and mold remediation"" with 24/7 support; restoration trade, no electrical work."
Coastal Hydraulics,http://coastalhydraulicstx.com,Deer Park,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Weak,15.0,2006.0,Private,Out of scope trade — hydraulics repair,,,,,,S1/S2 (new 14 Aug),3797612.0,"""Hydraulic repair service company"" repairing and manufacturing hydraulic components with quick turnaround — fluid power, not electric motors."
Shannon Lawn & Landscaping,http://shannonlandscaping.com,Stratford,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,17.0,1987.0,Family Owned,Out-of-scope trade (landscaping),,,,,,S1/S2 (new 14 Aug),1352744.0,"""Landscaping service provider specializing in lawn care and property maintenance"" for residential and commercial clients; not electrical."
Advanced Integrated Systems (ais),http://aisav.com,Tremonton,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,38.0,2000.0,Private,"Residential / low-voltage AV, automation and security",,,,,,S1/S2 (new 14 Aug),456260.0,"""Home automation, security systems, and audio solutions"" including ""home theater installations"" for residential and commercial customers."
Victory Power Solutions,http://victorypowersolutions.com,Addison,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,63.0,2010.0,Private,Out of trade - retail energy procurement and brokerage consulting,,,,,,S1/S2 (new 14 Aug),3291214.0,"'Energy procurement' and risk management for commercial and multi-family clients, plus 'web marketing solutions'; brokerage, not engineering or manufacturing."
"D. Muzzioli Associates, Inc",http://dmuzzioli.com,Belmont,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,5.0,1974.0,Private,Out of trade (landscaping and general contracting),,,,,,S1/S2 (new 14 Aug),641247.0,"""Landscaping, hardscaping, snow removal, and general contracting"" for Greater Boston clients; 5 employees, no electrical work."
Turnkey Technologies Incorporated,http://turnkeytechnologies.net,Salisbury,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,16.0,1999.0,Private,Out-of-thesis trade — welding and joining automation machinery,,,,,,S1/S2 (new 14 Aug),3208724.0,"Manufactures 'thermal joining, robotics, and custom assembly machines' for manufacturers since 1999; 16 heads; machinery, not electrical equipment."
Auto Computer Exchange,http://autocomputerexchange.com,Davie,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,4.0,1989.0,Private,Out-of-scope trade: automotive electronics remanufacture; consumer sales,,,,,,S1/S2 (new 14 Aug),916447.0,"""Remanufactured engine control modules"" sold to ""individual consumers and businesses in the automotive repair industry""; automotive trade, 4 employees."
WTS Connects,http://wtsconnect.com,Placentia,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,4.0,2000.0,Private,Out-of-scope trade - wire harness contract manufacturing; 4 staff below floor,,,,,,S1/S2 (new 14 Aug),2968767.0,'Wire harnesses and cable assemblies' custom-built for automotive and industrial OEMs; 4 staff; component contract manufacturing below the floor
"Parametric Solutions, Inc.",http://psnet.com,Jupiter,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,149.0,1993.0,Private,"Out of trade - aerospace and defense engineering, prototyping and machining",,,,,,S1/S2 (new 14 Aug),1218613.0,"'Engineering services, prototyping, and testing' for aerospace, defense and manufacturing clients; product-development work, no electrical infrastructure scope;"
"Applied Systems Engineering, Inc.",http://applsys.com,Fort Worth,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,23.0,1980.0,Private,Out-of-thesis trade — defense RF and microwave electronics manufacturing,,,,,,S1/S2 (new 14 Aug),233239.0,"Produces 'microwave amplifiers and transmitters' for radar and electronic warfare since 1980; 23 heads; defense electronics, not power equipment."
ESB Design+Build,http://esbdesignbuild.com,Marana,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,12.0,1984.0,Family Owned,General contractor and general construction,,,,,,S1/S2 (new 14 Aug),12584649.0,"""General contractor and modular building manufacturer"" doing ""site preparation and utility work""; general construction gate survives, 12 employees below floor."
Crossair LLC,http://crossairllc.com,Ellenboro,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Mixed,11.0,2001.0,Family Owned,Out-of-scope trade - ventilation and air pollution control equipment,,,,,,S1/S2 (new 14 Aug),3751552.0,"'Fume scrubbers and mist eliminators' with 'engineering, installation, and maintenance services' for industrial air quality; family owned 2001; mechanical trade"
"GPR, Inc.",http://gprus.com,Sterling,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,15.0,2005.0,Private,Out of scope trade — glass and glazing,,,,,,S1/S2 (new 14 Aug),19373011.0,"""Glass and glazing services"" — curtain wall design, fabrication and installation for ""owners, developers, and contractors""; glazing subcontractor."
Barnhill Chimney Company,http://barnhillchimney.com,Lexington,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,10.0,2000.0,Private,Out-of-scope trade (chimney service); residential,,,,,,S1/S2 (new 14 Aug),421655.0,"""Chimney sweeping, inspections, repairs, and fireplace installations"" for ""homeowners in Central Kentucky""; residential and trade gates fire."
Bannon Paving,http://bannonpaving.com,Rockland,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,6.0,2011.0,Private,Out-of-thesis trade: paving,,,,,,S1/S2 (new 14 Aug),2819539.0,"""Paving contractor"" doing ""asphalt paving, masonry, and excavation"" in Greater Boston; 6 employees, no electrical scope."
Restech Information Services,http://restech.net,Metairie,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,37.0,1992.0,Private,Managed IT only,,,,,,S1/S2 (new 14 Aug),981352.0,"'IT support company... managed services, cybersecurity, and technology projects'; no electrical field service."
"VLSIP Technologies, Inc.",http://vlsip.com,Richardson,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,184.0,1984.0,Private,Out of trade - semiconductor and electronic module manufacture for OEMs,,,,,,S1/S2 (new 14 Aug),1173521.0,"'Design, manufacturing, and testing of electronic modules' using 'advanced semiconductor technologies' for medical and communications OEMs; microelectronics, no"
"ASAP Mailbox And More, Inc.",http://asapmailbox.com,Cape Coral,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,2.0,2009.0,Private,Out of trade - mailbox installation,,,,,,S1/S2 (new 14 Aug),1399883.0,"""Mailbox installation and repair service provider"" selling and installing mailboxes for homeowners, property managers and builders; 2 heads."
"Acapella Craftsmen, Inc",http://acapellainc.com,Petaluma,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,14.0,2001.0,Private,Out of trade - millwork and casework installation,,,,,,S1/S2 (new 14 Aug),12336560.0,"'High-quality casework and millwork installation services for contractors in the Bay Area'; 14 staff, woodworking subcontractor to construction."
"Performance Drywall, LLC",http://performance-drywall.com,Houston,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,13.0,2007.0,Private,Out-of-scope trade: drywall; general contractor customers,,,,,,S1/S2 (new 14 Aug),22885955.0,"""Commercial drywall and acoustical ceiling installation"" serving ""general contractors and project owners""; wrong trade, GC-driven."
GTS Technical Sales,http://gtstechsales.com,Wilmington,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,10.0,2001.0,Private,"Pure distribution, no field service",,,,,,S1/S2 (new 14 Aug),3966375.0,"'Industrial distributor specializing in valves, fittings, and pumps'; product distribution with no field service; 10 employees."
Bruce Ewing Landscaping,http://bruceewinglandscaping.com,Fort Wayne,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,24.0,1985.0,Family Owned,Out of scope trade: landscaping; residential,,,,,,S1/S2 (new 14 Aug),7433847.0,"'Landscape design, installation, and maintenance' for residential and commercial clients around Fort Wayne; landscaping trade, no electrical work."
CanServ LLC,http://can-serv.com,Tulsa,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,7.0,2007.0,Private,Distribution/product resale,,,,,,S1/S2 (new 14 Aug),2367497.0,"""Lubrication systems distributor"" selling ""pumps and controllers"" with installation and repair to oil and gas; 7 staff, mechanical distribution."
"Great Lakes Fire Protection,LLC",http://greatlakesfireonline.com,Waukesha,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,13.0,2002.0,Private,Fire protection and life-safety only - excluded trade,,,,,,S1/S2 (new 14 Aug),419504.0,"""Installation and maintenance of fire suppression systems, alarms, and kitchen ventilation systems"" for restaurants and hotels; excluded trade."
"Directional Technologies, Inc.",http://directionaltech.com,Wallingford,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,9.0,1992.0,Private,Out of scope trade — environmental drilling,,,,,,S1/S2 (new 14 Aug),11371551.0,"""Environmental drilling contractor"" doing ""horizontal directional drilling and remediation technologies"" for environmental consultants — drilling, no electrical"
Domes Audio Video Environments,http://domesav.com,Virginia Beach,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,9.0,1980.0,Private,Low-voltage/AV; residential,,,,,,S1/S2 (new 14 Aug),1362121.0,"""Audio-visual technology and smart home automation"" with security systems for ""homeowners and businesses"", 9 employees; low-voltage gate fires."
Greener Horizon,http://greenerhorizon.com,Middleboro,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Unknown,,2005.0,Private,Out-of-thesis trade: landscaping,,,,,,S1/S2 (new 14 Aug),3713389.0,"""Landscaping service company"" doing ""landscape management and construction"" plus ""snow management""; no electrical scope."
"Capital Program Management, Inc. (CPM)",http://capitalpm.com,Sacramento,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,39.0,1999.0,Private,"Program and construction management, no field workforce",,,,,,S1/S2 (new 14 Aug),839626.0,"'Program and construction management firm' serving 'California's K-12 education sector'; management services only, no field crews."
One Hat One Hand,http://onehatonehand.com,San Francisco,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,35.0,2008.0,Private,Out-of-thesis trade — experiential design and fabrication; licensed general contractor,,,,,,S1/S2 (new 14 Aug),811847.0,"'Experiential design, public art' fabrication for architects and brands, operating as a 'licensed general contractor'; 35 heads; no electrical scope."
Plowboy Landscapes Inc,http://plowboylandscapes.com,Ventura,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,11.0,1976.0,Private,Out of trade - landscaping,,,,,,S1/S2 (new 14 Aug),12930205.0,"""Landscape construction and garden maintenance services for commercial properties"" with full-time on-site gardeners in Ventura county."
GL Communications,http://gl.com,Gaithersburg,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Strong,88.0,1986.0,Private,Telecom-only: network test equipment,,,,,,S1/S2 (new 14 Aug),618687.0,"""Telecommunications testing"" products for ""wireless and Ethernet/IP"" networks in telecom and aviation; telecom-only gate survives."
Greg Anderson Painting,http://gregandersonpainting.com,Kent,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,8.0,1993.0,Private,Out-of-scope trade: painting and drywall; residential,,,,,,S1/S2 (new 14 Aug),508913.0,"""Painting and drywall service provider"" doing interior/exterior painting and cabinetry for homeowners and businesses."
Great Lakes Landscape Design,http://greatlakeslandscapedesign.com,Oak Park,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,24.0,1989.0,Private,Out-of-scope trade: landscaping,,,,,,S1/S2 (new 14 Aug),1228035.0,"'Landscape design, installation, and maintenance services' for residential and commercial Metro Detroit clients; not electrical."
"Accent Graphics, Inc.",http://accentgraphicsinc.com,Grand Prairie,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Strong,36.0,1979.0,Private,Out-of-scope trade - signage manufacture and installation,,,,,,S1/S2 (new 14 Aug),1028102.0,"Signage 'design, fabrication, installation, and maintenance' from Dallas-Fort Worth nationwide; 36 staff since 1979; signage trade excluded"
Audio Logic Systems,http://audiologicsystems.com,Eden Prairie,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,13.0,1991.0,Private,Low-voltage only - AV integration,,,,,,S1/S2 (new 14 Aug),12393727.0,"""AV integration company"" providing audio, video and lighting for performing arts venues and houses of worship; low-voltage systems only."
S&S Greenhouses,http://ssgreenhouses.com,Fayetteville,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,4.0,1974.0,Private,Out of trade - landscaping and nursery services,,,,,,S1/S2 (new 14 Aug),13055743.0,"""Interior and exterior landscape design, installation, and maintenance, as well as nursery services""; no electrical work whatsoever."
"Terra Associates, Inc.",http://terra-associates.com,Kirkland,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,31.0,1983.0,Family Owned,Out of trade - geotechnical engineering and environmental assessment,,,,,,S1/S2 (new 14 Aug),823099.0,"'Geotechnical engineering and environmental assessments' for developers, municipalities and homeowners across the Pacific Northwest; no electrical scope."
"SC&A, Inc.",http://sca-nr.com,Nashville,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,6.0,1974.0,Private,Out-of-thesis trade — civil engineering and urban forestry; 6 heads below the floor,,,,,,S1/S2 (new 14 Aug),3924733.0,"'Civil engineering, urban forestry, and water management' consulting since 1974; 6 employees; no electrical discipline."
Accura Calibration,http://accuracal.com,Garland,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Weak,7.0,2007.0,Private,"Out-of-thesis trade: instrument metrology, not power system testing",,,,,,S1/S2 (new 14 Aug),554709.0,"""NIST traceable RF microwave and electrical calibration"" of test instruments, in-house and on-site; 7 employees, no power apparatus testing."
"Goley Insulation, Inc.",http://goleyinc.com,Dupo,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Weak,17.0,1973.0,Family Owned,Out-of-scope trade - insulation contractor; residential,,,,,,S1/S2 (new 14 Aug),97460.0,"'Insulation contractor... spray foam, fiberglass, cellulose' for 'residential, commercial, and agricultural buildings'; not electrical work."
"Fowlkes, Norman & Associates, Inc.",http://fnalandscape.com,Fort Worth,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Mixed,Strong,20.0,1989.0,Private,Out of trade (landscaping),,,,,,S1/S2 (new 14 Aug),12615171.0,"""Landscape design, maintenance, tree care, and irrigation services"" for Fort Worth residential and commercial clients; no electrical content."
URI Construction,http://uriconstruction.com,Phoenix,,X9,Out of scope,DQ,DQ (do not contact),,Not verified,Weak,Weak,Mixed,11.0,1999.0,Private,General construction/fit-out,,,,,,S1/S2 (new 14 Aug),1467035.0,"""Commercial construction services ... design, build, and installation"" for restaurants and hotels - hospitality general contractor."
